Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Call Type	Energy Diff	Energy Par	Energy Diff (wl)	Energy Par (wl)	AHR	Exception
60	Spectrogram 1	6	218.550	220.180	4000.0	18000.0	8398.4	Phee	1.479940	25.778521	-2.450173	12.860283	68.169307	0.000000
61	Spectrogram 1	6	220.390	222.110	4000.0	18000.0	8203.1	Phee	2.692430	28.352477	-1.642891	14.232203	87.741123	0.000000
62	Spectrogram 1	6	224.160	224.240	4000.0	18000.0	7617.2	Trill	2.912944	7.064351	-0.822861	0.436239	36.210771	0.000000
63	Spectrogram 1	6	224.300	224.660	4000.0	18000.0	4101.6	Trill	2.354867	7.165696	-0.671288	0.903817	31.881028	0.000000
64	Spectrogram 1	6	224.700	225.340	4000.0	18000.0	7421.9	Trill	0.973990	7.596735	-0.494840	0.950604	31.112097	0.000000
65	Spectrogram 1	6	225.750	226.930	4000.0	18000.0	6250.0	Twitter	0.242257	13.530166	-0.357404	1.984623	31.753812	0.000000
66	Spectrogram 1	5	226.970	227.010	4000.0	18000.0	17187.5	Sd-peep	1.484879	8.972122	9.162693	-0.806878	38.015061	0.000000
67	Spectrogram 1	5	227.680	227.750	4000.0	18000.0	6054.7	Trill	5.399102	10.048581	1.321954	-0.334592	69.618387	0.000000
68	Spectrogram 1	6	228.800	228.830	4000.0	18000.0	4101.6	Trill	4.791006	4.154670	-0.471904	-1.257224	35.178663	0.000000
69	Spectrogram 1	6	231.470	232.460	4000.0	18000.0	7812.5	Phee	3.831673	9.872558	-4.712831	9.497243	59.073287	0.000000
70	Spectrogram 1	5	232.620	232.850	4000.0	18000.0	8398.4	P-peep	4.047394	6.397045	0.568748	3.555932	45.948873	0.000000
977	Spectrogram 1	2	233.640	233.690	4000.0	18000.0	8203.1	Trill	4.978320	4.803739	NaN	NaN	29.592588	0.000000
71	Spectrogram 1	5	234.160	234.220	4000.0	18000.0	7617.2	Trill	3.122792	3.690992	1.011406	-0.350465	29.227012	0.000000
72	Spectrogram 1	5	234.270	234.350	4000.0	18000.0	5273.4	Trill	3.046632	3.952701	2.725337	-0.111198	38.521104	0.000000
73	Spectrogram 1	6	236.350	237.790	4000.0	18000.0	8398.4	Phee	3.561868	22.461776	-0.337917	7.393066	82.974403	0.000000
74	Spectrogram 1	6	238.220	239.750	4000.0	18000.0	8398.4	Phee	1.190688	29.391116	-0.926621	13.173980	69.694367	0.000000
75	Spectrogram 1	5	245.160	245.210	4000.0	18000.0	15625.0	Trill	2.754113	4.602550	1.038404	-0.103129	31.291799	0.000000
76	Spectrogram 1	5	262.840	262.960	4000.0	18000.0	16210.9	Trill	4.053547	6.302552	0.785981	0.418454	49.837012	0.000000
77	Spectrogram 1	5	269.640	269.740	4000.0	18000.0	15429.7	Trill	3.322215	4.489723	0.476884	0.000268	29.187429	0.000000
78	Spectrogram 1	6	290.020	291.610	4000.0	18000.0	8398.4	Phee	-0.053097	26.478611	-2.625369	14.088182	76.381160	0.000000
79	Spectrogram 1	6	292.230	293.470	4000.0	18000.0	7812.5	Phee	2.100231	24.768341	-1.464867	11.675260	86.527078	0.000000
80	Spectrogram 1	6	293.830	294.130	4000.0	18000.0	5273.4	Trill	6.800867	10.952594	-1.119508	-1.227607	50.193042	0.000000
81	Spectrogram 1	6	294.440	294.540	4000.0	18000.0	7421.9	Sd-peep	7.647221	16.407727	-1.203352	0.685812	92.407610	0.000000
82	Spectrogram 1	6	294.680	294.820	4000.0	18000.0	16601.6	Trill	2.679582	4.273819	-0.260946	0.358337	29.846907	0.000000
83	Spectrogram 1	6	295.560	295.750	4000.0	18000.0	7617.2	Trill	5.122670	13.451031	-1.709042	3.026816	72.176999	0.000000
84	Spectrogram 1	5	296.000	296.390	4000.0	18000.0	6445.3	Trillphee	2.553638	8.436858	0.745403	0.547874	45.637067	0.000000
85	Spectrogram 1	5	299.300	299.400	4000.0	18000.0	15625.0	Phee	10.452192	19.430497	1.579205	-0.376065	129.392120	0.000000
86	Spectrogram 1	5	300.380	301.390	4000.0	18000.0	6640.6	Trill	1.623423	8.835097	2.136235	1.179594	32.321988	0.000000
87	Spectrogram 1	6	301.990	302.060	4000.0	18000.0	7617.2	Twitter	-1.126213	7.660909	-0.521071	0.702698	33.430694	0.000000
88	Spectrogram 1	6	302.100	302.170	4000.0	18000.0	6640.6	Twitter	-0.632123	9.210768	-0.559287	1.166289	32.865709	0.000000
89	Spectrogram 1	5	302.230	302.270	4000.0	18000.0	16406.2	Twitter	-1.301958	12.387943	0.285792	1.191924	32.986027	0.000000
90	Spectrogram 1	6	302.350	302.390	4000.0	18000.0	6250.0	Twitter	-1.544034	12.198155	-1.267513	1.576326	40.304107	0.000000
91	Spectrogram 1	5	302.460	302.550	4000.0	18000.0	6445.3	Twitter	0.076347	9.845846	0.660962	0.772516	35.369086	0.000000
92	Spectrogram 1	5	302.580	302.620	4000.0	18000.0	6835.9	Twitter	-0.200022	11.837575	0.058125	1.627545	40.416895	0.000000
93	Spectrogram 1	6	302.700	302.750	4000.0	18000.0	6054.7	Twitter	0.387445	11.118302	-1.220272	1.853015	41.782538	0.000000
94	Spectrogram 1	5	302.810	302.850	4000.0	18000.0	6250.0	Twitter	2.634182	11.581616	4.914494	1.295619	54.527311	0.000000
978	Spectrogram 1	2	303.210	303.310	4000.0	18000.0	5078.1	Phee	8.328463	9.649815	NaN	NaN	29.382673	0.000000
95	Spectrogram 1	6	306.000	306.190	4000.0	18000.0	5664.1	Trill	3.126614	6.279601	-0.212392	-0.143047	39.928233	0.000000
96	Spectrogram 1	5	306.210	306.300	4000.0	18000.0	15039.1	Trill	3.586960	5.504134	0.079770	-0.350457	36.626027	0.000000
97	Spectrogram 1	5	306.360	306.880	4000.0	18000.0	16015.6	Trill	2.121415	5.800942	0.442166	-1.239870	32.235685	0.000000
98	Spectrogram 1	6	310.430	310.540	4000.0	18000.0	7421.9	Trill	4.721090	6.510695	-0.268878	6.880135	50.538647	0.000000
99	Spectrogram 1	5	311.310	311.380	4000.0	18000.0	17578.1	Trill	3.206544	4.976788	0.374761	0.015318	38.102359	0.000000
100	Spectrogram 1	5	313.810	313.870	4000.0	18000.0	4687.5	Trill	5.943378	4.931401	5.485196	0.510131	28.125437	0.000000
101	Spectrogram 1	5	314.160	315.290	4000.0	18000.0	4296.9	Trill	2.303675	10.488517	0.331248	0.893855	54.086425	0.000000
979	Spectrogram 1	2	315.700	315.730	4000.0	18000.0	4296.9	Trill	6.719704	9.706642	NaN	NaN	28.442505	0.000000
102	Spectrogram 1	5	317.560	317.610	4000.0	18000.0	5664.1	Trill	5.801904	6.600413	0.866644	0.602367	55.843261	0.000000
103	Spectrogram 1	5	318.620	319.200	4000.0	18000.0	7031.2	Trill	6.876859	8.975218	3.775871	5.669171	56.647976	0.000000
980	Spectrogram 1	2	319.840	319.900	4000.0	18000.0	5468.7	Twitter	10.794555	15.150220	NaN	NaN	24.333409	0.000000
104	Spectrogram 1	5	324.190	324.320	4000.0	18000.0	7421.9	Trill	3.399167	4.421825	0.800069	0.312806	36.262934	0.000000
105	Spectrogram 1	5	326.110	326.160	4000.0	18000.0	4687.5	Trill	7.536421	10.673023	9.048533	0.003910	35.245009	0.000000
106	Spectrogram 1	5	326.200	327.870	4000.0	18000.0	4101.6	Trill	2.088220	9.907019	4.151076	-0.382929	34.610257	0.000000
107	Spectrogram 1	6	329.590	329.750	4000.0	18000.0	6640.6	Trill	3.195203	9.887867	-0.832309	1.460195	58.291634	0.000000
108	Spectrogram 1	5	332.490	332.520	4000.0	18000.0	5859.4	P-peep	-0.037247	3.803871	0.447783	0.489224	36.469164	0.000000
109	Spectrogram 1	6	335.080	335.180	4000.0	18000.0	5468.7	Phee	1.303658	5.114740	-0.427871	0.106667	30.927727	0.000000
938	Spectrogram 1	1	335.100	335.680	4000.0	18000.0	7031.2	Trill	4.618025	8.809686	NaN	NaN	50.749781	0.000000
110	Spectrogram 1	5	336.730	336.830	4000.0	18000.0	16796.9	Phee	1.290709	6.543976	0.617726	0.334665	34.106712	0.000000
111	Spectrogram 1	5	339.150	339.230	4000.0	18000.0	4492.2	Phee	9.951443	9.731080	3.577363	0.797525	31.844775	0.000000
112	Spectrogram 1	5	343.700	343.770	4000.0	18000.0	15820.3	Phee	0.666386	6.591033	1.343760	0.703704	35.948861	0.000000
113	Spectrogram 1	6	346.080	346.750	4000.0	18000.0	7226.6	Trill	1.414624	5.755670	-0.001577	0.048451	31.574948	0.000000
114	Spectrogram 1	5	348.200	348.260	4000.0	18000.0	5664.1	Trill	2.845657	7.810793	0.030634	-0.072276	48.942286	0.000000
115	Spectrogram 1	6	348.300	348.400	4000.0	18000.0	4101.6	P-peep	0.676252	5.664077	-0.484920	-0.230922	29.968223	0.000000
116	Spectrogram 1	5	351.100	351.190	4000.0	18000.0	5078.1	P-peep	2.614235	5.638866	1.377263	0.214420	32.760280	0.000000
117	Spectrogram 1	5	358.150	358.210	4000.0	18000.0	17187.5	Phee	6.554784	5.100100	2.432110	-0.069781	32.597236	0.000000
118	Spectrogram 1	5	367.160	367.270	4000.0	18000.0	6835.9	Trill	6.460453	6.158384	1.907625	-1.542298	31.533092	0.000000
119	Spectrogram 1	6	367.290	367.380	4000.0	18000.0	6835.9	Trill	3.514390	4.388386	-1.122797	0.417963	33.194188	0.000000
120	Spectrogram 1	5	380.030	380.520	4000.0	18000.0	17968.7	Trill	4.310177	8.013638	0.152068	0.052778	46.544387	0.000000
